populacao,ano,sigla_uf,id_municipio
32639,2021,PA,150350
101395,2020,PA,150360
101541,2021,PA,150360
53355,2020,PA,150370
53439,2021,PA,150370
7590,2020,PA,150375
6952,2021,PA,150375
59842,2020,PA,150380
60517,2021,PA,150380
58960,2020,PA,150390
59961,2021,PA,150390
29282,2020,PA,150400
29623,2021,PA,150400
30235,2020,PA,150405
30389,2021,PA,150405
8573,2020,PA,150410
8598,2021,PA,150410
283542,2020,PA,150420
287664,2021,PA,150420
29516,2020,PA,150430
29559,2021,PA,150430
28450,2020,PA,150440
28563,2021,PA,150440
133685,2020,PA,150442
135812,2021,PA,150442
31975,2020,PA,150445
32347,2021,PA,150445
27890,2020,PA,150450
28121,2021,PA,150450
31530,2020,PA,150460
31917,2021,PA,150460
83182,2020,PA,150470
84251,2021,PA,150470
16184,2020,PA,150475
16282,2021,PA,150475
58162,2020,PA,150480
58289,2021,PA,150480
40906,2020,PA,150490
41454,2021,PA,150490
21444,2020,PA,150495
21519,2021,PA,150495
16854,2020,PA,150497
17027,2021,PA,150497
15506,2020,PA,150500
15646,2021,PA,150500
25766,2020,PA,150503
25769,2021,PA,150503
77214,2020,PA,150506
78488,2021,PA,150506
52306,2020,PA,150510
52473,2021,PA,150510
32850,2020,PA,150520
33182,2021,PA,150520
74016,2020,PA,150530
74921,2021,PA,150530
17961,2020,PA,150540
18079,2021,PA,150540
33335,2020,PA,150543
33831,2021,PA,150543
48414,2020,PA,150548
49110,2021,PA,150548
7582,2020,PA,150549
7575,2021,PA,150549
114503,2020,PA,150550
115838,2021,PA,150550
213576,2020,PA,150553
218787,2021,PA,150553
5410,2020,PA,150555
5339,2021,PA,150555
8081,2020,PA,150560
8084,2021,PA,150560
12979,2020,PA,150563
12976,2021,PA,150563
31659,2020,PA,150565
32325,2021,PA,150565
31549,2020,PA,150570
32007,2021,PA,150570
62945,2020,PA,150580
63831,2021,PA,150580
41801,2020,PA,150590
42456,2021,PA,150590
29846,2020,PA,150600
29827,2021,PA,150600
10857,2020,PA,150610
10889,2021,PA,150610
13702,2020,PA,150611
13794,2021,PA,150611
85563,2020,PA,150613
86326,2021,PA,150613
18201,2020,PA,150616
18208,2021,PA,150616
52803,2020,PA,150618
53242,2021,PA,150618
51500,2020,PA,150619
52473,2021,PA,150619
40922,2020,PA,150620
41164,2021,PA,150620
24075,2020,PA,150630
24392,2021,PA,150630
21449,2020,PA,150635
21811,2021,PA,150635
10314,2020,PA,150640
10496,2021,PA,150640
71837,2020,PA,150650
72856,2021,PA,150650
19843,2020,PA,150655
19839,2021,PA,150655
21850,2020,PA,150658
22244,2021,PA,150658
24995,2020,PA,150660
25127,2021,PA,150660
74419,2020,PA,150670
75995,2021,PA,150670
306480,2020,PA,150680
308339,2021,PA,150680
6753,2020,PA,150690
6796,2021,PA,150690
31918,2020,PA,150700
32346,2021,PA,150700
18129,2020,PA,150710
18207,2021,PA,150710
25753,2020,PA,150715
25945,2021,PA,150715
32139,2020,PA,150720
32285,2021,PA,150720
132138,2020,PA,150730
135732,2021,PA,150730
15930,2020,PA,150740
15978,2021,PA,150740
24705,2020,PA,150745
24566,2021,PA,150745
6217,2020,PA,150746
6294,2021,PA,150746
23244,2020,PA,150747
23440,2021,PA,150747
14051,2020,PA,150750
14105,2021,PA,150750
59632,2020,PA,150760
60268,2021,PA,150760
26974,2020,PA,150770
27302,2021,PA,150770
6009,2020,PA,150775
6088,2021,PA,150775
11480,2020,PA,150780
11305,2021,PA,150780
